title,rating,rating_count,status,view,genres
Jishou! Heibon Mazoku no Eiyuu Life: B-kyuu Mazoku nano ni Cheat Dungeon wo Tsukutteshimatta Kekka,2.3,18,Ongoing,7930,"['Action', 'Comedy', 'Fantasy', 'Romance', 'School Life', 'Shounen']"
Office Worker Who Sees Fate,2.7,101,Ongoing,4472,"['Action', 'Manhwa', 'Mystery', 'Romance', 'Shounen']"
"I’m Haunted by a Ghost, but it Keeps Getting Cuter!",0.7,3,Ongoing,8346,['Horror']
The monster who became cuter and hotter just as much as she buzzed.,5,1,Ongoing,2503,"['Comedy', 'Romance']"
"disciples, please spare your master",2.7,56,Ongoing,1618,"['Comedy', 'Harem', 'Manhua', 'Martial Arts', 'Adventure']"
Invincible Battle Power System,1.5,2,Ongoing,1612,"['Action', 'Fantasy', 'Shounen']"
Love After World Domination,2.4,7,Ongoing,7015,"['Comedy', 'Ecchi', 'Romance', 'Shounen', 'Supernatural']"
A Queen&#x27;s Law of Survival,3,2,Ongoing,936,"['Comedy', 'Fantasy', 'Romance']"
Deathwish Covenant,2,33,Ongoing,2706,"['Action', 'Manhwa', 'Webtoon']"
The Rotten Lady Rosa Wants to Watch Over Love from the Shadows,0.9,6,Ongoing,8437,"['Comedy', 'Fantasy', 'Historical', 'Romance', 'Isekai']"
My Master Has No Tail,2.4,7,Ongoing,4283,"['Comedy', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Supernatural', 'Adventure']"
After Reincarnating in Another World as My Sort of Cheat but Small Fry Female Character I will Strive to Live a Peaceful Life of an Ordinary Person!,2.7,12,Ongoing,788,"['Fantasy', 'Isekai']"
Kenja no Mago SS,2.2,19,Ongoing,7590,"['Comedy', 'Ecchi', 'Romance', 'School Life']"
Eiyuu No Musume To Shite Umarekawatta Eiyuu Wa Futatabi Eiyuu O Mezasu,2.3,10,Ongoing,4219,"['Comedy', 'Ecchi', 'Fantasy', 'Gender Bender', 'School Life']"
Bisheng Supreme,1.8,5,Ongoing,2079,"['Action', 'Manhua', 'Romance']"
