title,rating,status,type,chapter,release
Genius Corpse-Collecting Warrior,9.3,Ongoing,Manhwa,30,"December 2, 2023"
Carnivorous Hunter,9.4,Dropped,Manhwa,50.5 Drop Notice,"July 6, 2022"
Solo Spell Caster,8.3,Dropped,Manhwa,87,"November 22, 2020"
I’m Not a Regressor,9.7,Ongoing,Manhwa,40,"November 30, 2023"
Return Of The Shattered Constellation,9.8,Ongoing,Manhwa,112,"November 29, 2021"
Return of The Unrivaled Spear Knight,9.7,Ongoing,Manhwa,139,"October 2, 2021"
Dungeon Odyssey,9.7,Ongoing,Manhwa,86,"September 26, 2022"
King of Violence,9.6,Ongoing,Manhwa,7,"May 19, 2024"
Superhuman Battlefield,9.7,Ongoing,Manhwa,108,"February 18, 2023"
Overpowered Sword,9.7,Ongoing,Manhwa,97,"June 4, 2022"
The Live,9.8,Dropped,Manhwa,167,"April 23, 2022"
A Comic Artist’s Survival Guide,8,Dropped,Manhua,24,"April 29, 2022"
Barbarian Quest,9.9,Dropped,Manhwa,62.5 Drop Notice,"April 15, 2022"
Arcana Fantasy,8,Dropped,Manhwa,29,"December 17, 2020"
Return of the Mount Hua Sect,10,Ongoing,Manhwa,124,"March 23, 2021"
Youngest Scion of the Mages,9.4,Ongoing,Manhwa,66 {S2 END},"October 10, 2022"
"Player Who Returned 10,000 Years Later",9.8,Ongoing,Manhwa,81,"July 30, 2022"
Reformation of the Deadbeat Noble,9.9,Ongoing,Manhwa,106 - Feel inferior and have a driving force,"May 21, 2021"
SSS-Class Gacha Hunter,9.5,Dropped,Manhwa,67.5 Drop Notice,"September 30, 2021"
I Killed an Academy Player,9.4,Ongoing,Manhwa,33,"November 6, 2023"
I Reincarnated As The Crazed Heir,9.2,Ongoing,Manhwa,127 - To The Central Plains {S2 END},"July 23, 2021"
"Of All Things, I Became a Crow",9.4,Ongoing,Manhwa,107,"April 22, 2022"
Hero Has Returned,9.5,Dropped,Manhwa,23,"June 7, 2021"
The Novel’s Extra (Remake),9.9,Ongoing,Manhwa,99 {S2 END},"June 30, 2022"
Reborn as the Enemy Prince,9.4,Ongoing,Manhwa,33 - S1 End -,"August 31, 2023"
Ultra Alter,9.1,Dropped,Manhwa,45,"September 17, 2021"
Demonic Spirit King,9.6,Dropped,Manhwa,35,"November 12, 2021"
Absolute Necromancer,9.5,Ongoing,Manhwa,52,"June 30, 2023"
King of Runes,8.9,Dropped,Manhua,13,"January 17, 2022"
Surviving The Game as a Barbarian,9.9,Ongoing,Manhwa,53 {S1 END},"April 19, 2023"
I Grow Stronger By Eating!,9,Completed,Manhwa,100 - The End,"May 31, 2021"
Martial God Regressed to Level 2,9.8,Ongoing,Manhwa,51 - [S1 END],"July 31, 2023"
The Extra’s Academy Survival Guide,9.5,Ongoing,Manhwa,26,"December 28, 2023"
I Captured The Tyrant’s Heart,9.5,Dropped,Manhwa,3,"July 17, 2023"
Emperor’s Domination,9.0,Dropped,Manhua,19,"March 25, 2022"
Solo Bug Player,8.7,Dropped,Manhwa,88,"February 13, 2021"
Return to Player,8.9,Dropped,Manhwa,138,"February 18, 2023"
Insanely-Talented Player,9.0,Ongoing,Manhwa,44,"September 10, 2023"
Absolute Sword Sense,9.2,Ongoing,Manhwa,84,"June 19, 2022"
I’m Not That Kind of Talent,9.8,Ongoing,Manhwa,75 {S1 END},"November 21, 2022"
The Player Hides His Past,9.7,Ongoing,Manhwa,53 - S1 END,"June 16, 2023"
Spirit Farmer,9.4,Dropped,Manhwa,160,"October 11, 2020"
